Pop_id,Peak_time,Peak_height
0,665.942441141486,1804
1,871.5558684681118,1848
2,1123.1615186107617,1805
3,1370.4778943371973,1815
4,1592.6329008567911,1819
5,1796.5585031631747,1823
6,2079.477900303536,1795
7,2364.1944845198086,1844
8,2630.9489283850394,1813
9,2867.650370107756,1836
10,3083.417413065188,1823
11,3314.4968069026536,1781
12,3578.0550112608184,1819
13,3800.1938091605975,1789
14,4005.4974053824326,1809
15,4228.367297817519,1790
16,4482.651836570366,1799
17,4673.870037284509,1800
18,4961.735535170091,1828
19,5259.363654224309,1806
20,5471.952179711018,1793
21,5708.08102326919,1803
22,5936.651201445573,1814
23,6074.6260202881995,1805
24,6305.913610235656,1804
25,6576.820597689075,1826
26,6816.073940315403,1815
27,7073.396335853029,1825
28,7343.316620458068,1815
29,7494.51694925479,1794
30,7710.154841024322,1814
31,7910.90075131566,1814
32,8128.212363160023,1807
33,8308.721829855467,1810
34,8502.618933621763,1831
35,8646.863385848997,1833
36,8831.797217905647,1822
37,8954.384068034364,1802
38,9128.065282384649,1782
39,9283.985782538206,1830
40,9313.436596406193,1830
41,9522.755994780957,1796
42,9716.122504445446,1826
43,9917.707641120254,1820
44,10165.572427649953,1816
45,10384.444110571174,1817
46,10475.872371239944,1812
47,10537.918062392922,1827
48,10818.217388396275,1797
49,11004.552968288031,1821
