Pop_id,Peak_time,Peak_height
0,666.1485324249898,1821
1,909.0750940624054,1822
2,1020.974976245885,1835
3,1215.014950204258,1797
4,1364.8231408129852,1839
5,1603.663979952835,1805
6,1792.301196684031,1794
7,2020.4341338047595,1822
8,2147.652504636076,1826
9,2275.975625846745,1833
10,2462.1779563867753,1830
11,2654.9449459686984,1803
12,2849.734658651313,1823
13,3006.4721857424684,1833
14,3205.212132191113,1826
15,3428.6942261950876,1848
16,3592.7193229923137,1829
17,3780.129673645736,1829
18,3981.7387860674603,1829
19,4164.1634283404455,1827
20,4421.8254240586,1815
21,4539.829970441636,1816
22,4692.295434018122,1815
23,4961.15676071126,1824
24,5140.961522376114,1818
25,5310.54290955593,1835
26,5466.44748443724,1826
27,5611.970471174816,1825
28,5798.565383783133,1829
29,6051.112724909979,1826
30,6230.764123654003,1815
31,6408.636609869859,1827
32,6500.33062985852,1834
33,6686.869433555824,1809
34,6724.838448496132,1815
35,6797.136632308456,1823
36,7009.5777575354405,1812
37,7203.0613159326,1819
38,7410.867091929997,1813
39,7602.379972544997,1810
40,7853.520306783102,1825
41,7884.312379521716,1828
42,8097.7531601680785,1814
43,8272.412384055988,1810
44,8449.454074135449,1826
45,8664.8394129599,1824
46,8875.118048733057,1813
47,8991.938322757513,1815
48,9167.885023279043,1838
49,9367.463936889593,1833
