Pop_id,Peak_time,Peak_height
0,532.5160573840919,1830
1,598.3737464994291,1822
2,750.4808360226081,1835
3,961.4783884954219,1821
4,1136.333981749824,1847
5,1328.8083096822907,1806
6,1450.287014125369,1828
7,1635.0548815271688,1799
8,1829.891229341714,1824
9,1963.2454287226774,1834
10,2093.243988740783,1833
11,2260.479367591949,1816
12,2454.4954621736615,1817
13,2612.9744455323666,1832
14,2798.541099324575,1857
15,2983.645601345636,1823
16,3110.8126551070486,1847
17,3224.26194629988,1846
18,3394.9165730579766,1837
19,3567.0436092560967,1824
20,3717.2380441999726,1802
21,3878.027704022505,1834
22,4040.575195398792,1814
23,4162.03766864088,1803
24,4342.629756816063,1834
25,4525.275100581621,1831
26,4608.048412260371,1813
27,4781.494133103478,1839
28,4941.243382998348,1820
29,5077.956240296267,1819
30,5277.697480707727,1799
31,5462.436356738158,1806
32,5615.900422838457,1818
33,5810.688819357705,1816
34,5891.918015303066,1823
35,6056.704201106129,1798
36,6205.210074092077,1814
37,6376.771124849411,1809
38,6565.636645710239,1812
39,6802.839808752813,1822
40,6965.404199483135,1822
41,7165.187328681151,1842
42,7332.780418247354,1805
43,7479.84222504115,1837
44,7656.238401133675,1830
45,7796.706009381975,1812
46,7985.8072506251665,1820
47,8189.365777688383,1804
48,8318.900073362269,1800
49,8465.795400952791,1819
