Pop_id,Peak_time,Peak_height
0,504.8388493862789,1426
1,721.8888959533496,1410
2,948.536415815251,1441
3,1108.0215430214073,1412
4,1381.0281297733513,1398
5,1502.7837503782366,1406
6,1681.3804942957008,1417
7,1918.4856917415827,1400
8,2142.5137481841753,1395
9,2335.980728402949,1419
10,2486.5984580612912,1414
11,2758.8421552971213,1420
12,3023.723239534463,1391
13,3200.843621246359,1385
14,3367.865198502041,1430
15,3585.922697728922,1407
16,3799.343257217398,1423
17,4100.406117938731,1387
18,4306.024384311173,1414
19,4544.923726472764,1419
20,4776.401936290491,1430
21,5068.994868526827,1410
22,5268.155641582012,1373
23,5395.379155606488,1405
24,5638.317029886893,1391
25,5826.7952718680735,1341
26,6029.908042060509,1423
27,6315.841034484647,1378
28,6546.1024226978825,1412
29,6708.902902258939,1452
30,6914.957101414745,1372
31,7057.707327771127,1405
32,7281.7192564039,1413
33,7494.900366575618,1339
34,7684.999335288168,1444
35,7880.085682631167,1398
36,8102.193477723974,1383
37,8392.40654593943,1411
38,8595.288345655315,1404
39,8770.479967225434,1411
40,8956.357672973447,1416
41,9148.953156311962,1399
42,9332.876112599866,1386
43,9563.890043102054,1422
44,9780.78071363393,1379
45,10023.066211507665,1394
46,10282.705409234943,1475
47,10500.134386337522,1447
48,10754.377420355104,1414
49,10922.336254530926,1436
