Pop_id,Peak_time,Peak_height
0,539.2994175747083,1808
1,685.1678630721788,1800
2,838.8863700939204,1825
3,991.0734209920203,1815
4,1150.318195631817,1814
5,1332.1648354635533,1832
6,1509.5434199077656,1820
7,1703.2108583541194,1814
8,1939.037779599492,1800
9,2135.580535604088,1849
10,2343.171071190058,1831
11,2486.77688817224,1817
12,2699.793404085281,1793
13,2891.2107765626633,1799
14,3029.87710258886,1784
15,3210.415859946765,1815
16,3455.909512169576,1778
17,3620.728463016817,1800
18,3787.49230693338,1790
19,4038.631571327703,1794
20,4206.530525574928,1819
21,4360.3696460250485,1796
22,4539.518971032527,1831
23,4734.49584877005,1806
24,4963.782996968164,1802
25,5187.6489827536925,1818
26,5372.098390288481,1791
27,5576.0027028834575,1814
28,5763.81980027771,1811
29,5939.025457994041,1821
30,6215.303214415752,1795
31,6309.350964116333,1809
32,6518.939801928148,1813
33,6649.1162436738405,1804
34,6879.23014404984,1819
35,7066.253566949466,1811
36,7302.815095771392,1814
37,7457.036743954306,1801
38,7685.176490473618,1819
39,7844.278632600372,1828
40,8057.430764542733,1832
41,8292.077625996691,1807
42,8394.93498826542,1803
43,8574.12480738821,1840
44,8740.570481452774,1811
45,8909.830830607872,1791
46,9136.599608865397,1837
47,9287.890476176408,1784
48,9344.143828366934,1799
49,9597.994111333119,1800
