Pop_id,Peak_time,Peak_height
0,86.919280420786,1956
1,117.7564629719682,1959
2,146.52191216252623,1952
3,184.4125041438734,1955
4,214.3215685205193,1948
5,241.6683616495271,1955
6,259.1544890606762,1974
7,287.38575094139054,1951
8,326.8345834126653,1967
9,350.3518971095577,1960
10,383.1895808285891,1954
11,410.83620707088136,1952
12,449.25268979703907,1958
13,473.1333510851281,1964
14,494.1587544781715,1944
15,522.5606082566283,1963
16,545.723841100423,1959
17,575.4217702786467,1950
18,603.0940371561306,1953
19,636.9331019071473,1958
20,667.299586985623,1951
21,700.6197633155887,1942
22,737.9914708074763,1951
23,763.7306290754861,1949
24,788.6339809005792,1956
25,815.6504967393422,1955
26,850.3971409847043,1945
27,876.3886903346939,1952
28,901.9881216428644,1940
29,927.5081748112044,1940
30,956.1960484243866,1960
31,987.1522403191343,1955
32,1012.1384370712018,1950
33,1037.8506928179797,1947
34,1063.9165892006433,1958
35,1094.2980485414273,1944
36,1118.4227656397047,1946
37,1144.7599804885338,1949
38,1182.672841025485,1960
39,1208.4844917424261,1944
40,1235.822638232552,1949
41,1268.4127613417031,1955
42,1289.663084341229,1960
43,1323.7227246823818,1951
44,1335.9690947820245,1953
45,1369.6100289418011,1944
46,1401.3086174383552,1961
47,1434.9978677857548,1950
48,1466.4319092311787,1963
49,1499.2385546274281,1955
