Pop_id,Peak_time,Peak_height
0,94.12014122678009,1990
1,123.33738315360577,1994
2,153.3487963803677,1995
3,181.8930766836405,1995
4,200.71741453509256,1993
5,227.0674021444622,1994
6,253.43976035403665,1990
7,265.74651158631343,1994
8,287.0999152060941,1992
9,307.35485646759605,1994
10,324.14325900608316,1987
11,354.079690937149,1996
12,372.70388824844196,1994
13,408.4194353277201,1991
14,433.75290279062193,1995
15,453.85912116832134,1995
16,476.7014383478448,1997
17,500.54120727037224,1994
18,524.5699188052114,1994
19,546.9243791251755,1992
20,574.9738923020568,1994
21,592.0176432242883,1993
22,614.6780175654715,1993
23,639.739413708753,1989
24,662.9058836430953,1996
25,695.2466390903445,1996
26,715.5731411295321,1993
27,732.9769619354062,1993
28,767.1582860137631,1994
29,792.6455995511534,1994
30,825.0921144325735,1994
31,860.4142781063707,1993
32,877.1161937246081,1990
33,902.0738984411502,1993
34,934.422167798722,1995
35,957.3389094973061,1989
36,977.206492825164,1993
37,1006.835821824997,1993
38,1011.6781996587332,1989
39,1031.5585949257174,1988
40,1047.9172438964988,1997
41,1075.398136044265,1994
42,1098.4465169211373,1996
43,1122.1533654683335,1993
44,1144.3081193439407,1994
45,1159.9363888328255,1992
46,1186.0406560027577,1988
47,1208.3050118756382,1995
48,1232.067718455869,1990
49,1248.8877077742568,1992
