Pop_id,Peak_time,Peak_height
0,55.26348210847722,1857
1,69.19836275451695,1811
2,81.80318606041476,1820
3,97.04137838558879,1803
4,106.74933801870297,1816
5,125.23419250191658,1809
6,141.07069750200776,1773
7,155.0822249075061,1805
8,170.62228215525045,1825
9,183.69946539900306,1812
10,195.14094444295964,1816
11,204.71495952347024,1807
12,220.91558569842383,1841
13,234.15095648795915,1783
14,249.16693257751632,1816
15,262.48574503716475,1798
16,278.9476571121937,1801
17,287.6366107655147,1812
18,302.18622650195124,1805
19,318.0352314968906,1800
20,330.86858864650543,1797
21,345.68794440429843,1799
22,360.57993936229224,1796
23,373.6997819861114,1792
24,392.62900353079493,1831
25,408.2559623135176,1815
26,421.9199066388062,1790
27,434.75981793422665,1816
28,454.72793152888846,1791
29,466.4726039101757,1819
30,480.34294802632263,1800
31,497.47744323590337,1815
32,511.79381192830897,1821
33,529.4288919542544,1824
34,544.5292790390448,1814
35,560.517118098811,1798
36,576.4552780196525,1803
37,591.1796345440156,1778
38,607.7279107244542,1808
39,618.8237463836208,1777
40,635.3683340938542,1809
41,652.2915503406873,1814
42,668.0314704125703,1823
43,680.5525532863629,1791
44,698.548436830284,1809
45,712.5890423015545,1800
46,725.1504890069839,1804
47,739.8957843214511,1821
48,752.4460653229762,1820
49,769.0067740540945,1809
