Pop_id,Peak_time,Peak_height
0,55.404347774958644,1811
1,78.2595085417721,1831
2,97.39177290734251,1817
3,111.9537457402299,1828
4,134.40856719299074,1826
5,155.14024784636155,1827
6,172.45802509407164,1829
7,183.51952274898358,1826
8,203.20500199969476,1806
9,225.68139232146908,1823
10,247.83729057779914,1845
11,264.14051481833036,1816
12,278.17018302653617,1809
13,284.935118817118,1813
14,306.54309129726437,1836
15,325.6429861640911,1808
16,334.3231679104053,1817
17,357.74551574564464,1802
18,370.97141692977516,1798
19,396.2526547597685,1827
20,401.9850191233304,1796
21,422.5596367423592,1809
22,442.44864957393486,1823
23,463.5372656446306,1811
24,478.39419021567164,1808
25,493.7097382491125,1814
26,517.0164490562889,1806
27,536.4379907624641,1817
28,551.7587381277119,1851
29,570.2519718615848,1815
30,589.4326941378193,1806
31,610.2777844995601,1813
32,634.6265695756958,1833
33,650.8317492072589,1830
34,678.5330803922046,1837
35,695.9118591841121,1813
36,711.9081083957346,1827
37,728.5264073114355,1845
38,752.5075757888571,1810
39,777.9734416691306,1822
40,797.7567654872764,1835
41,817.6598501810207,1807
42,840.2837878331983,1825
43,856.9844322348737,1826
44,878.8253858133374,1817
45,895.8761386896542,1834
46,921.0588954793112,1832
47,939.5197078097668,1820
48,967.8575301923094,1806
49,990.4796657896277,1844
