Pop_id,Peak_time,Peak_height
0,67.5022556308299,1824
1,75.91678755114249,1808
2,104.97823786968708,1824
3,130.13583567083066,1788
4,152.25982429255444,1816
5,165.34052681383017,1816
6,186.41266459240467,1820
7,207.3489867819533,1829
8,224.4382837990857,1820
9,234.35874487758718,1801
10,256.5747479520951,1808
11,279.0584213288642,1819
12,293.8804803655997,1821
13,313.56796619576386,1815
14,334.86174322914115,1806
15,353.34710779716073,1803
16,379.0302166028023,1825
17,402.983538518684,1824
18,422.2519474247335,1832
19,445.01016411133014,1821
20,464.6853200135401,1825
21,483.77204055582087,1829
22,507.92212022179956,1792
23,534.0273828456895,1812
24,557.4585442147072,1817
25,584.7394383263014,1817
26,615.5980365885542,1846
27,635.126704728227,1842
28,657.6024226620247,1822
29,675.3830969307731,1834
30,698.1870413756791,1837
31,725.8767692282843,1826
32,751.6929251249067,1836
33,778.9754903617458,1805
34,794.6189446701135,1818
35,820.8961018177514,1802
36,846.3688096410599,1814
37,862.4838115932863,1827
38,883.6926729691314,1837
39,907.2402390057447,1800
40,930.5509732248584,1816
41,951.1770055547556,1788
42,972.0308973334638,1819
43,998.6285569893043,1822
44,1017.1537414483241,1818
45,1036.1616510196009,1812
46,1053.1600259256738,1825
47,1075.9879029669867,1828
48,1098.7662106206828,1817
49,1120.3035830799527,1804
