Pop_id,Peak_time,Peak_height
0,563.1784506774263,1822
1,804.7924329863399,1816
2,1001.6229759446926,1810
3,1287.070540343039,1810
4,1534.4221595136053,1813
5,1768.8660725158013,1818
6,1940.1144298287109,1812
7,2252.145119436641,1814
8,2525.960199946728,1829
9,2802.4036133531567,1823
10,3045.8636031533556,1816
11,3345.9620471940957,1798
12,3461.618111557036,1827
13,3669.8640449134446,1808
14,3895.6782039496416,1807
15,4174.828270334043,1833
16,4411.907883568745,1808
17,4629.849504170506,1794
18,4914.664018285164,1808
19,5125.057377081646,1805
20,5333.358778124771,1813
21,5616.410037174486,1826
22,5802.37912687135,1820
23,6132.87798212818,1809
24,6404.5364996795115,1804
25,6675.953677047524,1854
26,6841.556991773441,1832
27,7054.156197397703,1840
28,7316.989927353855,1850
29,7563.376916886382,1809
30,7843.093618540583,1837
31,8077.217166938842,1812
32,8337.360901927566,1808
33,8639.217638235308,1815
34,8906.598771146986,1828
35,9169.60190209553,1803
36,9408.206092320579,1813
37,9557.346763610523,1812
38,9804.329787159344,1793
39,10085.308793308777,1810
40,10176.139849235058,1816
41,10426.727853443937,1803
42,10595.59611446374,1815
43,10890.480363018956,1819
44,11152.54763579569,1820
45,11385.010737493807,1801
46,11593.630121980663,1826
47,11866.61528441794,1822
48,12045.285875068297,1817
49,12251.662746719441,1818
