Pop_id,Peak_time,Peak_height
0,549.4530502444799,1806
1,622.50597923771,1799
2,660.8162724024734,1799
3,714.4913071787066,1828
4,796.9957995602699,1849
5,867.7017299527528,1852
6,944.9616409963461,1830
7,1023.8313253254279,1806
8,1103.8646951194733,1829
9,1167.0289240749814,1859
10,1235.786556791898,1820
11,1269.5875423476443,1820
12,1343.012454312415,1816
13,1429.7123549931914,1810
14,1512.4624201875054,1836
15,1561.2058845865147,1802
16,1636.8263054502645,1838
17,1708.856869030614,1839
18,1742.8058281875392,1817
19,1830.0109974674597,1834
20,1900.589720539506,1811
21,1964.8122034568266,1819
22,2025.1167778406077,1828
23,2099.5390231396623,1822
24,2182.5529633025503,1838
25,2213.04844115963,1810
26,2294.915031918562,1824
27,2358.8830286422867,1816
28,2413.535279694144,1832
29,2493.941969788177,1815
30,2557.6887201553445,1829
31,2649.040055336669,1805
32,2723.27204161434,1827
33,2778.458362169401,1816
34,2860.530786890436,1816
35,2952.889733789049,1817
36,3018.363968666973,1830
37,3125.762892666089,1817
38,3205.96109015222,1811
39,3291.117403231582,1815
40,3328.8967557110245,1831
41,3422.5169040269784,1818
42,3474.0880745883014,1827
43,3532.6924787560743,1828
44,3615.657816123055,1848
45,3669.0134740916374,1800
46,3743.769622376077,1811
47,3828.7702315513375,1832
48,3873.377806126634,1817
49,3936.6831581204888,1857
