Pop_id,Peak_time,Peak_height
0,670.1234702151431,11754
1,738.7052183435351,7088
2,767.2032916768693,5073
3,720.1712238420927,4718
4,700.5907901602593,4120
5,711.9357995454073,5621
6,721.5788947710593,4703
7,737.4273631300989,5026
8,747.5433546082597,4135
9,835.6469008768875,2670
10,660.1509526755387,2051
11,738.138020366618,2687
12,753.4799305482877,2694
13,714.7087090160379,3290
14,736.0125874639926,2383
15,752.215141118669,2079
16,657.8236911805508,3813
17,699.3527874809175,1780
18,725.1745846533729,1775
19,866.6224987269962,1781
20,731.3777264171866,1176
21,665.6882966951562,1781
22,744.6226766417328,2929
23,739.2586729531525,2654
24,754.4567869458988,1183
25,792.7901137684573,895
26,763.1971337981568,1792
27,856.8142162627781,896
28,842.8837141669196,1171
29,780.5638551992283,1193
30,787.4138590997628,1754
31,719.2653341329508,1781
32,713.9241364448309,1484
33,763.3266656663116,1483
34,723.0779590160143,1492
35,642.5476515201784,1186
36,781.1811702133232,1470
37,812.1960759047681,2097
38,818.1421603279709,1184
39,819.85535414988,1778
40,831.5797006647532,1204
41,699.2880015861768,3245
42,740.5597351376089,1463
43,799.1103687198627,301
44,846.4617748852605,1200
45,697.7968607473587,3270
46,760.2426724320543,2379
47,993.352542413009,608
48,743.8250548905116,584
49,794.1938699668837,1791
50,751.6797651218628,2061
51,822.3948300605929,1503
52,841.5021832261581,1180
53,785.2587724044014,1490
54,860.9388879188201,1214
55,870.2748088627752,1782
56,958.9570778185911,591
57,754.8430844914602,2682
58,819.7092940932343,1210
59,775.030686147508,1183
60,787.741205466006,894
61,859.3500213763097,1784
62,873.3394378904975,882
63,848.5216539326728,604
64,868.9654756801859,1196
65,847.177744552631,883
66,772.553935210151,1174
67,765.2113308480814,894
68,779.4558674375415,1179
69,869.6218896742894,894
70,801.353925121768,906
71,871.1592164247843,905
72,830.6236852592142,606
73,884.4714914088777,891
74,832.4221386921207,597
75,951.0722596884535,596
76,836.8809990251953,1197
77,859.9401203060148,890
78,894.5977516312452,598
79,769.0059432935743,595
80,717.267274261611,597
81,678.1087027176643,594
82,783.4268476615981,1773
83,896.2782888318767,291
84,879.6541943607999,609
85,753.2208959588379,894
86,860.6115030173573,298
87,880.5953542985493,1501
88,820.8240183639954,1478
89,669.6283234026984,1748
90,760.3749998281698,1200
91,674.72587640875,1473
92,704.4799973897797,1448
93,780.2492615025765,908
94,836.6655675060844,900
95,766.982319973802,1793
96,1035.173036791945,303
97,692.7794475552486,894
